name,price,status,shipping,free_returns,items_sold
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",499,Pre-Owned,0,False,
Family Guy Brian Pin,899,Brand New,560,False,
Vintage Original Family Guy Family Fever T-Shirt Size XL,1500,,699,False,
Vintage Original Family Guy Family Fever T-Shirt Size XL,1500,,699,False,
"Even At My Lois I Was Still A Family Guy T-Shirt, Even At My Lois Shirt KL1947",1614,Brand New,0,False,
"Family Guy: Something, Something, Something, Darkside - DVD - VERY GOOD",398,Pre-Owned,0,True,
"Family Guy (Sony PlayStation 2, 2006)",1500,Pre-Owned,560,False,
Family Guy Video Game PS2 PlayStation 2 CIB TESTED AUTHENTIC WORKING,1400,Pre-Owned,610,False,
Family Guy VIDEO GAME  PSP Complete with case and manual Tested and working! CIB,2498,Pre-Owned,0,True,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",499,Pre-Owned,0,False,
The Family Guy: Volume 6 (DVD),349,Pre-Owned,349,False,
FAMILY GUY - Volume Season 10 Ten - DVD,699,Pre-Owned,0,True,
Family guy dvd lot Volumes 1 - 7,1490,New (Other),617,False,
"Family Guy (Microsoft Xbox, 2006) NO MANUAL",1699,Pre-Owned,499,False,
"Family Guy (Sony PlayStation 2, 2006) CIB",1499,Pre-Owned,0,False,
Family Guy Season 11 (DVD),99,New (Other),349,False,
Family Guy Peter Lois Meg Stewie Brian Series Characters ID Holder Lanyard,499,Brand New,400,False,
Comedy DVD Sale Lot Classic Funny Humor Movie Combined Shipping CHEAP ,100,Pre-Owned,395,True,
New SEALED 2005 Mezco Family Guy Mutant Stewie Series 2 MOC,999,Brand New,589,True,
"Family Guy, Volume Four DVD",495,Pre-Owned,0,True,
Family Guy Bundle,420,Pre-Owned,610,False,
Jumbo Brian Griffin Family Guy Dog Stuffed Plush Doll Toy Factory 24” Large,3700,Pre-Owned,0,False,
Family Guy Season 16 DVD Set 3 Discs Pre-Owned,500,New (Other),349,False,
Stern Family Guy Pinball Machine Lois Figure Modified 511-5050-00 NOS! Free Ship,1999,Brand New,0,True,
"FAMILY GUY: Volume Seven (2009, Fox)  3-Disc DVD Set!",799,Pre-Owned,0,False,
Family Guy Autograph Card A4 Mike Henry as Cleveland Brown,3499,Pre-Owned,0,True,
"Family Guy Volume 2: Season 3 (DVD, 2000)",349,Pre-Owned,349,False,
"Family Guy - Volume 2: Season 3 (DVD, 2003, 3-Disc Set) NEW",537,Brand New,0,True,
"Family Guy Presents Blue Harvest (DVD, 2009, Standard Edition)",99,Pre-Owned,550,False,
Family Guy Episode IV A New Hope Evil Empire CL1 Case Loader Insert,1699,Pre-Owned,0,True,
Family Guy K’nex Series 1 Figures Lot Of 5 Different Coded Blind Bags NEW,1200,Brand New,0,False,
Stern Family Guy Pinball Machine Meg Figure Modified 880-5084-01-01 NOS!,1999,Brand New,0,True,
Family Guy Dvd Seasons 1-7,1800,Pre-Owned,349,False,
New SEALED 2005 Mezco Family Guy Mort Goldman Series 4 MOC,999,Brand New,589,True,
Stern Family Guy Pinball Machine Brian Figure Modified 880-5084-00-01 NOS!,1999,Brand New,0,True,
Family Guy Disc 4 Season 2 Episodes 15-21,349,Pre-Owned,449,False,
Family Guy Volume 4: Season 4 (DVD),399,Pre-Owned,349,False,
"Family Guy: It's a Trap! (DVD, includes Digital Copy, 2010)",500,New (Other),349,False,
"Family Guy, Volume Five - DVD By Seth MacFarlane - VERY GOOD",378,Pre-Owned,0,True,
"Family Guy PS2 (Sony PlayStation 2, 2006) Complete CIB TESTED W/manual",1999,Pre-Owned,0,False,
"The Family Guy DVD Stewie Griffin, the Untold Story",99,New (Other),350,False,
Family Guy and Philosophy: A Cure for the Petarded (The Blackwell Philoso - GOOD,403,Pre-Owned,0,True,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",733,Brand New,0,True,
"Family Guy  "" Someone's Been Naughty "" Sexy Christmas Beer Glass - Unused",949,Brand New,1061,False,
Funko Family Guy Chris Bobble-Head (item B),499,Brand New,499,False,
The Family Guy Star Wars Trilogy (Blu-ray) Laugh it up Fuzzball,1299,Pre-Owned,0,True,
Family Guy Partial Terms of Endearment DVD,700,Pre-Owned,0,False,
"Family Guy: Its a Trap (Blu-ray Disc, 2010, 2-Disc Set) USED",500,Pre-Owned,349,False,
Family Guy: Partial Terms of Endearment (DVD) Banned From TV!,495,Pre-Owned,0,False,
Family Guy Autograph Card A5 Lois Alan as Diane Simmons,1999,Pre-Owned,0,True,
Family Guy Star Wars DVD Trilogy Lot,3000,Pre-Owned,800,False,
Family Guy Stewing Plush Toy,1000,Pre-Owned,1060,False,
Family Guy Lot of 4 DVD Sets,600,New (Other),416,False,
Family Guy Season 17 DVD Set 3 Discs Pre-Owned,500,New (Other),349,False,
Family Guy Two-Pack (DVD),1000,New (Other),416,False,
SEALED 2007 Mezco Family Guy Neil Goldman Variant Series 7 MOC,999,Brand New,589,True,
"Family Guy, Partial Terms Of Endearment. DVD",347,Pre-Owned,444,False,
Family Guy Christmas Ornament Brian Dog w/ Drink Fox Santa Holiday Resin MIP,750,,590,False,
Stern Family Guy Pinball Machine Peter Figure Modified 511-5005-00 NOS Free Ship,2999,Brand New,0,True,
Family Guy Volume Four 3 Dvd Set 2006,99,New (Other),349,False,
Family Guy Season 3 Disc 3 - **Replacement DISC ONLY WITH TRACKING**,292,Pre-Owned,0,False,
Family Guy: It's a Trap! (DVD),99,Pre-Owned,349,False,
Family Guy: Presents Stewie Griffin: The Untold Story DVD **DISC ONLY** ,235,Pre-Owned,0,False,
Family Guy: The Freakin' Sweet Collection (DVD),300,Pre-Owned,0,False,
Family Guy Seasons 1 & 2 - Partial Seasons,525,Pre-Owned,349,False,
"Family Guy VOLUMES 1-12 + 13,14, & 15 Dvd VOLUMES Lot Of 16",16000,Pre-Owned,1500,False,
Family Guy: It's a Trap! (DVD),99,Pre-Owned,349,False,
The Family Guy: Volume 7 (DVD),99,New (Other),349,False,
New SEALED 2007 Mezco Family Guy Neil Goldman Green Shirt Series 7 MOC,999,Brand New,589,True,
Family Guy: It's A Trap! - DVD By Carrie Fisher - VERY GOOD,359,Pre-Owned,0,True,
"Family Guy: Season 11, Volume 12",799,New (Other),349,False,
The Family Guy Star Wars Trilogy (Blu-ray) Laugh it up Fuzzball,1044,Pre-Owned,349,False,
"Family Guy: Something, Something, Something, Darkside",499,Pre-Owned,0,False,
"Used Family Guy - The Freakin Sweet Collection (DVD, 2004)",1965,Pre-Owned,0,True,
Family Guy Blue Harvest (DVD),360,New (Other),349,False,
Family guy big lot,2000,Pre-Owned,416,False,
"Family Guy Volume 1: Seasons 1 & 2 (DVD, 1999)",500,Pre-Owned,349,False,
Stern Family Guy Pinball Machine Chris Figure Modified 511-5006-00 NOS Free Ship,2999,Brand New,0,True,
YOU PICK / CHOOSE DVD BOX SETS TV COMPLETE SEASONS COMBINED SHIPPING $4.00 +Ship,400,Pre-Owned,300,False,
"Family Guy, Vol. 1: Seasons 1 & 2 (4 Discs)",300,Pre-Owned,0,False,
